Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","466","Mali","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.23","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","470","Malta","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.917","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","478","Mauritania","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.948","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","480","Mauritius","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.785","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","484","Mexico","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.205","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","496","Mongolia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","5.676","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","499","Montenegro","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.673","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","504","Morocco","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.905","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","508","Mozambique","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.548","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","104","Myanmar","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.206","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","516","Namibia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.761","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","524","Nepal","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.621","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","528","Netherlands (Kingdom of the)","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.963","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","554","New Zealand","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.797","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","558","Nicaragua","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.54","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","562","Niger","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.155","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","566","Nigeria","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.325","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","807","North Macedonia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.616","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","578","Norway","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.361","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","512","Oman","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.141","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","586","Pakistan","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.893","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","275","Palestine","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.285","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","591","Panama","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.687","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","600","Paraguay","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.867","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","604","Peru","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.334","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","608","Philippines","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.364","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","616","Poland","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.155","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","620","Portugal","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.651","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","634","Qatar","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.708","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","410","Republic of Korea","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","5.34","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","498","Republic of Moldova","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.998","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","642","Romania","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.253","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","643","Russian Federation","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.678","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","646","Rwanda","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.718","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","659","Saint Kitts and Nevis","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.526","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","662","Saint Lucia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.673","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","670","Saint Vincent and the Grenadines","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.697","E","Estimated value"
